 PPID   PID  PGID   SID TTY      TPGID STAT   UID   TIME COMMAND
    0     2     0     0 ?           -1 S        0   0:00 [kthreadd]
    2    61     0     0 ?           -1 S        0   0:00  \_ [rcuos/53]
    2    62     0     0 ?           -1 S        0   0:00  \_ [rcuos/54]
    2    63     0     0 ?           -1 S        0   0:00  \_ [rcuos/55]
    2    64     0     0 ?           -1 S        0   0:00  \_ [rcuos/56]
    2    65     0     0 ?           -1 S        0   0:00  \_ [rcuos/57]
    2    66     0     0 ?           -1 S        0   0:00  \_ [rcuos/58]
    2    67     0     0 ?           -1 S        0   0:00  \_ [rcuos/59]
    2    68     0     0 ?           -1 S        0   0:00  \_ [rcuos/60]
    2    69     0     0 ?           -1 S        0   0:00  \_ [rcuos/61]
    2    70     0     0 ?           -1 S        0   0:00  \_ [rcuos/62]
    2    71     0     0 ?           -1 S        0   0:00  \_ [rcuos/63]
    2    72     0     0 ?           -1 S        0   0:00  \_ [rcu_bh]
    2    73     0     0 ?           -1 S        0   0:00  \_ [rcuob/0]
    2    74     0     0 ?           -1 S        0   0:00  \_ [rcuob/1]
    2    75     0     0 ?           -1 S        0   0:00  \_ [rcuob/2]
    2    76     0     0 ?           -1 S        0   0:00  \_ [rcuob/3]
    2    77     0     0 ?           -1 S        0   0:00  \_ [rcuob/4]
    2    78     0     0 ?           -1 S        0   0:00  \_ [rcuob/5]
    2    79     0     0 ?           -1 S        0   0:00  \_ [rcuob/6]
    2    80     0     0 ?           -1 S        0   0:00  \_ [rcuob/7]
    2    81     0     0 ?           -1 S        0   0:00  \_ [rcuob/8]
    2    82     0     0 ?           -1 S        0   0:00  \_ [rcuob/9]
    2    83     0     0 ?           -1 S        0   0:00  \_ [rcuob/10]
    2    84     0     0 ?           -1 S        0   0:00  \_ [rcuob/11]
    2    85     0     0 ?           -1 S        0   0:00  \_ [rcuob/12]
    2    86     0     0 ?           -1 S        0   0:00  \_ [rcuob/13]
    2    87     0     0 ?           -1 S        0   0:00  \_ [rcuob/14]
    2    88     0     0 ?           -1 S        0   0:00  \_ [rcuob/15]
    2    89     0     0 ?           -1 S        0   0:00  \_ [rcuob/16]
    2    90     0     0 ?           -1 S        0   0:00  \_ [rcuob/17]
    2    91     0     0 ?           -1 S        0   0:00  \_ [rcuob/18]
    2    92     0     0 ?           -1 S        0   0:00  \_ [rcuob/19]
    2    93     0     0 ?           -1 S        0   0:00  \_ [rcuob/20]
    2    94     0     0 ?           -1 S        0   0:00  \_ [rcuob/21]
    2    95     0     0 ?           -1 S        0   0:00  \_ [rcuob/22]
    2    96     0     0 ?           -1 S        0   0:00  \_ [rcuob/23]
    2    97     0     0 ?           -1 S        0   0:00  \_ [rcuob/24]
    2    98     0     0 ?           -1 S        0   0:00  \_ [rcuob/25]
    2    99     0     0 ?           -1 S        0   0:00  \_ [rcuob/26]
    2   100     0     0 ?           -1 S        0   0:00  \_ [rcuob/27]
    2   101     0     0 ?           -1 S        0   0:00  \_ [rcuob/28]
    2   102     0     0 ?           -1 S        0   0:00  \_ [rcuob/29]
    2   103     0     0 ?           -1 S        0   0:00  \_ [rcuob/30]
    2   104     0     0 ?           -1 S        0   0:00  \_ [rcuob/31]
    2   105     0     0 ?           -1 S        0   0:00  \_ [rcuob/32]
    2   106     0     0 ?           -1 S        0   0:00  \_ [rcuob/33]
    2   107     0     0 ?           -1 S        0   0:00  \_ [rcuob/34]
    2   108     0     0 ?           -1 S        0   0:00  \_ [rcuob/35]
    2   109     0     0 ?           -1 S        0   0:00  \_ [rcuob/36]
    2   110     0     0 ?           -1 S        0   0:00  \_ [rcuob/37]
    2   111     0     0 ?           -1 S        0   0:00  \_ [rcuob/38]
    2   112     0     0 ?           -1 S        0   0:00  \_ [rcuob/39]
    2   113     0     0 ?           -1 S        0   0:00  \_ [rcuob/40]
    2   114     0     0 ?           -1 S        0   0:00  \_ [rcuob/41]
    2   115     0     0 ?           -1 S        0   0:00  \_ [rcuob/42]
    2   116     0     0 ?           -1 S        0   0:00  \_ [rcuob/43]
    2   117     0     0 ?           -1 S        0   0:00  \_ [rcuob/44]
    2   118     0     0 ?           -1 S        0   0:00  \_ [rcuob/45]
    2   119     0     0 ?           -1 S        0   0:00  \_ [rcuob/46]
    2   120     0     0 ?           -1 S        0   0:00  \_ [rcuob/47]
    2   121     0     0 ?           -1 S        0   0:00  \_ [rcuob/48]
    2   122     0     0 ?           -1 S        0   0:00  \_ [rcuob/49]
    2   123     0     0 ?           -1 S        0   0:00  \_ [rcuob/50]
    2   124     0     0 ?           -1 S        0   0:00  \_ [rcuob/51]
    2   125     0     0 ?           -1 S        0   0:00  \_ [rcuob/52]
    2   126     0     0 ?           -1 S        0   0:00  \_ [rcuob/53]
    2   127     0     0 ?           -1 S        0   0:00  \_ [rcuob/54]
    2   128     0     0 ?           -1 S        0   0:00  \_ [rcuob/55]
    2   129     0     0 ?           -1 S        0   0:00  \_ [rcuob/56]
    2   130     0     0 ?           -1 S        0   0:00  \_ [rcuob/57]
    2   131     0     0 ?           -1 S        0   0:00  \_ [rcuob/58]
    2   132     0     0 ?           -1 S        0   0:00  \_ [rcuob/59]
    2   133     0     0 ?           -1 S        0   0:00  \_ [rcuob/60]
    2   134     0     0 ?           -1 S        0   0:00  \_ [rcuob/61]
    2   135     0     0 ?           -1 S        0   0:00  \_ [rcuob/62]
    2   136     0     0 ?           -1 S        0   0:00  \_ [rcuob/63]
    2   137     0     0 ?           -1 S        0   0:00  \_ [migration/0]
    2   138     0     0 ?           -1 S        0   0:00  \_ [watchdog/0]
    2   139     0     0 ?           -1 S        0   0:00  \_ [watchdog/1]
    2   140     0     0 ?           -1 S        0   0:00  \_ [migration/1]
    2   141     0     0 ?           -1 S        0   0:00  \_ [ksoftirqd/1]
    2   142     0     0 ?           -1 S        0   0:00  \_ [kworker/1:0]
    2   143     0     0 ?           -1 S<       0   0:00  \_ [kworker/1:0H]
    2   144     0     0 ?           -1 S<       0   0:00  \_ [khelper]
    2   145     0     0 ?           -1 S        0   0:00  \_ [kdevtmpfs]
    2   146     0     0 ?           -1 S<       0   0:00  \_ [netns]
    2   147     0     0 ?           -1 S<       0   0:00  \_ [writeback]
    2   148     0     0 ?           -1 S<       0   0:00  \_ [kintegrityd]
    2   149     0     0 ?           -1 S<       0   0:00  \_ [bioset]
    2   150     0     0 ?           -1 S<       0   0:00  \_ [kworker/u129:0]
    2   151     0     0 ?           -1 S<       0   0:00  \_ [kblockd]
    2   152     0     0 ?           -1 S<       0   0:00  \_ [ata_sff]
    2   153     0     0 ?           -1 S        0   0:00  \_ [khubd]
    2   154     0     0 ?           -1 S<       0   0:00  \_ [md]
    2   155     0     0 ?           -1 S<       0   0:00  \_ [devfreq_wq]
    2   157     0     0 ?           -1 S        0   0:02  \_ [kworker/0:1]
    2   159     0     0 ?           -1 S        0   0:00  \_ [khungtaskd]
    2   160     0     0 ?           -1 S        0   0:00  \_ [kswapd0]
    2   161     0     0 ?           -1 SN       0   0:00  \_ [ksmd]
    2   162     0     0 ?           -1 SN       0   0:00  \_ [khugepaged]
    2   163     0     0 ?           -1 S        0   0:00  \_ [fsnotify_mark]
    2   164     0     0 ?           -1 S        0   0:00  \_ [ecryptfs-kthrea]
    2   165     0     0 ?           -1 S<       0   0:00  \_ [crypto]
    2   177     0     0 ?           -1 S<       0   0:00  \_ [kthrotld]
    2   179     0     0 ?           -1 S        0   0:00  \_ [scsi_eh_0]
    2   180     0     0 ?           -1 S        0   0:00  \_ [scsi_eh_1]
    2   201     0     0 ?           -1 S<       0   0:00  \_ [deferwq]
    2   202     0     0 ?           -1 S<       0   0:00  \_ [charger_manager]
    2   203     0     0 ?           -1 S        0   0:00  \_ [kworker/1:2]
    2   255     0     0 ?           -1 S<       0   0:00  \_ [mpt_poll_0]
    2   257     0     0 ?           -1 S<       0   0:00  \_ [mpt/0]
    2   258     0     0 ?           -1 S        0   0:00  \_ [scsi_eh_2]
    2   259     0     0 ?           -1 S<       0   0:00  \_ [kpsmoused]
    2   260     0     0 ?           -1 S        0   0:00  \_ [scsi_eh_3]
    2   261     0     0 ?           -1 S        0   0:00  \_ [scsi_eh_4]
    2   262     0     0 ?           -1 S        0   0:00  \_ [scsi_eh_5]
    2   263     0     0 ?           -1 S        0   0:00  \_ [scsi_eh_6]
    2   264     0     0 ?           -1 S        0   0:00  \_ [scsi_eh_7]
    2   265     0     0 ?           -1 S        0   0:00  \_ [scsi_eh_8]
    2   266     0     0 ?           -1 S        0   0:00  \_ [scsi_eh_9]
    2   267     0     0 ?           -1 S        0   0:00  \_ [scsi_eh_10]
    2   268     0     0 ?           -1 S        0   0:00  \_ [scsi_eh_11]
    2   269     0     0 ?           -1 S        0   0:00  \_ [scsi_eh_12]
    2   270     0     0 ?           -1 S        0   0:00  \_ [scsi_eh_13]
    2   271     0     0 ?           -1 S        0   0:00  \_ [scsi_eh_14]
    2   272     0     0 ?           -1 S        0   0:00  \_ [scsi_eh_15]
    2   273     0     0 ?           -1 S        0   0:00  \_ [scsi_eh_16]
    2   274     0     0 ?           -1 S        0   0:00  \_ [scsi_eh_17]
    2   275     0     0 ?           -1 S        0   0:00  \_ [scsi_eh_18]
    2   276     0     0 ?           -1 S        0   0:00  \_ [scsi_eh_19]
    2   277     0     0 ?           -1 S        0   0:00  \_ [scsi_eh_20]
    2   278     0     0 ?           -1 S        0   0:00  \_ [scsi_eh_21]
    2   279     0     0 ?           -1 S        0   0:00  \_ [scsi_eh_22]
    2   280     0     0 ?           -1 S        0   0:00  \_ [scsi_eh_23]
    2   281     0     0 ?           -1 S        0   0:00  \_ [scsi_eh_24]
    2   282     0     0 ?           -1 S        0   0:00  \_ [scsi_eh_25]
    2   283     0     0 ?           -1 S        0   0:00  \_ [scsi_eh_26]
    2   284     0     0 ?           -1 S        0   0:00  \_ [scsi_eh_27]
    2   285     0     0 ?           -1 S        0   0:00  \_ [scsi_eh_28]
    2   286     0     0 ?           -1 S        0   0:00  \_ [scsi_eh_29]
    2   287     0     0 ?           -1 S        0   0:00  \_ [scsi_eh_30]
    2   288     0     0 ?           -1 S        0   0:00  \_ [scsi_eh_31]
    2   317     0     0 ?           -1 S        0   0:00  \_ [scsi_eh_32]
    2   318     0     0 ?           -1 S        0   0:00  \_ [kworker/0:2]
    2   332     0     0 ?           -1 S        0   0:00  \_ [jbd2/sda1-8]
    2   333     0     0 ?           -1 S<       0   0:00  \_ [ext4-rsv-conver]
    2   560     0     0 ?           -1 S<       0   0:00  \_ [ttm_swap]
    2   734     0     0 ?           -1 S<       0   0:00  \_ [krfcommd]
    2  1440     0     0 ?           -1 S        0   0:00  \_ [kauditd]
    2  3925     0     0 ?           -1 S        0   0:00  \_ [kworker/u128:3]
    2  5416     0     0 ?           -1 S        0   0:00  \_ [kworker/u128:2]
    2  5626     0     0 ?           -1 S        0   0:00  \_ [kworker/u128:1]
    2  5658     0     0 ?           -1 S        0   0:00  \_ [kworker/u128:0]
    0     1     1     1 ?           -1 Ss       0   0:01 /sbin/init
    1   474   472   472 ?           -1 S        0   0:00 upstart-udev-bridge --daemon
    1   483   483   483 ?           -1 Ss       0   0:00 /lib/systemd/systemd-udevd --daemon
    1   617   615   615 ?           -1 S        0   0:00 upstart-file-bridge --daemon
    1   632   632   632 ?           -1 Ss     102   0:00 dbus-daemon --system --fork
    1   678   678   678 ?           -1 Ssl    101   0:00 rsyslogd
    1   697   697   697 ?           -1 Ss       0   0:00 /usr/sbin/bluetoothd
    1   713   713   713 ?           -1 Ss       0   0:00 /lib/systemd/systemd-logind
    1   786   778   778 ?           -1 S      111   0:00 avahi-daemon: running [ubuntu.local]
  786   792   778   778 ?           -1 S      111   0:00  \_ avahi-daemon: chroot helper
    1   819   819   819 ?           -1 Ssl      0   0:00 /usr/sbin/ModemManager
    1   844   843   843 ?           -1 S        0   0:00 upstart-socket-bridge --daemon
    1   923   923   923 ?           -1 Ssl      0   0:00 NetworkManager
  923  1000  1000   923 ?           -1 S        0   0:00  \_ /sbin/dhclient -d -sf /usr/lib/NetworkManager/nm-dhcp-client.action -pf /run/sendsigs.omit.d/network-manager.dhclient-eth0.pid -lf /var/lib/NetworkManager/dhclient-0b6e09d1-e573-4c09-8537-a1ee394209a9-eth0.lease -cf /var/lib/NetworkManager/dhclient-eth0.conf eth0
  923  1490  1490   923 ?           -1 S    65534   0:00  \_ /usr/sbin/dnsmasq --no-resolv --keep-in-foreground --no-hosts --bind-interfaces --pid-file=/run/sendsigs.omit.d/network-manager.dnsmasq.pid --listen-address=127.0.1.1 --conf-file=/var/run/NetworkManager/dnsmasq.conf --cache-size=0 --proxy-dnssec --enable-dbus=org.freedesktop.NetworkManager.dnsmasq --conf-dir=/etc/NetworkManager/dnsmasq.d
    1   935   632   632 ?           -1 Sl       0   0:00 /usr/lib/policykit-1/polkitd --no-debug
    1   968   968   968 tty4       968 Ss+      0   0:00 /sbin/getty -8 38400 tty4
    1   974   974   974 tty5       974 Ss+      0   0:00 /sbin/getty -8 38400 tty5
    1   980   980   980 tty2       980 Ss+      0   0:00 /sbin/getty -8 38400 tty2
    1   982   982   982 tty3       982 Ss+      0   0:00 /sbin/getty -8 38400 tty3
    1   985   985   985 tty6       985 Ss+      0   0:00 /sbin/getty -8 38400 tty6
    1  1040  1040  1040 ?           -1 Ss     106   0:00 /usr/sbin/kerneloops
    1  1045  1045  1045 ?           -1 Ss       0   0:00 cron
    1  1053  1053  1053 ?           -1 SLsl     0   0:00 lightdm
 1053  1142  1142  1142 tty7      1142 Rs+      0   0:34  \_ /usr/bin/X -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
 1053  1715  1053  1053 ?           -1 Sl       0   0:00  \_ lightdm --session-child 12 19
 1715  2730  2730  2730 ?           -1 Ss    1000   0:00      \_ init --user
 2730  2801  2801  2801 ?           -1 Ss    1000   0:00          \_ ssh-agent -s
 2730  2807  2807  2807 ?           -1 Ss    1000   0:01          \_ dbus-daemon --fork --session --address=unix:abstract=/tmp/dbus-VLfuIwL5iq
 2730  2815  2815  2815 ?           -1 Ss    1000   0:00          \_ upstart-event-bridge
 2730  2819  2819  2819 ?           -1 Ss    1000   0:00          \_ /usr/lib/x86_64-linux-gnu/hud/window-stack-bridge
 2730  2820  2820  2820 ?           -1 Ssl   1000   0:04          \_ /usr/bin/ibus-daemon --daemonize --xim
 2820  2851  2820  2820 ?           -1 Sl    1000   0:00          |   \_ /usr/lib/ibus/ibus-dconf
 2820  2854  2820  2820 ?           -1 Sl    1000   0:01          |   \_ /usr/lib/ibus/ibus-ui-gtk3
 2820  2914  2820  2820 ?           -1 Sl    1000   0:00          |   \_ /usr/lib/ibus/ibus-engine-simple
 2730  2829  2828  2828 ?           -1 S     1000   0:00          \_ upstart-file-bridge --daemon --user
 2730  2835  2807  2807 ?           -1 Sl    1000   0:00          \_ /usr/lib/gvfs/gvfsd
 2730  2836  2836  2836 ?           -1 Ssl   1000   0:00          \_ /usr/lib/unity-settings-daemon/unity-settings-daemon
 2730  2842  2807  2807 ?           -1 Sl    1000   0:00          \_ /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
 2730  2845  2845  2845 ?           -1 Ssl   1000   0:01          \_ /usr/lib/x86_64-linux-gnu/hud/hud-service
 2730  2849  2849  2849 ?           -1 Ssl   1000   0:00          \_ /usr/lib/at-spi2-core/at-spi-bus-launcher --launch-immediately
 2849  2862  2849  2849 ?           -1 S     1000   0:00          |   \_ /bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
 2730  2858  2858  2858 ?           -1 Ssl   1000   0:00          \_ gnome-session --session=ubuntu
 2858  3039  2858  2858 ?           -1 Sl    1000   0:29          |   \_ compiz
 2858  3077  2858  2858 ?           -1 Sl    1000   0:00          |   \_ nm-applet
 2858  3078  2858  2858 ?           -1 Sl    1000   0:00          |   \_ /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
 2858  3080  2858  2858 ?           -1 Sl    1000   0:08          |   \_ nautilus -n
 2858  3081  2858  2858 ?           -1 Sl    1000   0:00          |   \_ /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
 2858  3294  2858  2858 ?           -1 Sl    1000   0:00          |   \_ telepathy-indicator
 2858  3317  2858  2858 ?           -1 Sl    1000   0:00          |   \_ zeitgeist-datahub
 2858  3374  2858  2858 ?           -1 Sl    1000   0:00          |   \_ update-notifier
 2858  3426  2858  2858 ?           -1 Sl    1000   0:00          |   \_ /usr/lib/x86_64-linux-gnu/deja-dup/deja-dup-monitor
 2730  2864  2864  2864 ?           -1 Ssl   1000   0:01          \_ /usr/lib/unity/unity-panel-service
 2730  2865  2820  2820 ?           -1 Sl    1000   0:00          \_ /usr/lib/ibus/ibus-x11 --kill-daemon
 2730  2870  2868  2868 ?           -1 S     1000   0:00          \_ upstart-dbus-bridge --daemon --session --user --bus-name session
 2730  2872  2849  2849 ?           -1 Sl    1000   0:00          \_ /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
 2730  2892  2891  2891 ?           -1 S     1000   0:00          \_ upstart-dbus-bridge --daemon --system --user --bus-name system
 2730  2907  2807  2807 ?           -1 Sl    1000   0:01          \_ /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon
 2730  2921  2807  2807 ?           -1 Sl    1000   0:00          \_ /usr/lib/x86_64-linux-gnu/indicator-keyboard-service --use-gtk
 2730  2922  2922  2922 ?           -1 Ssl   1000   0:00          \_ /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
 2730  2924  2924  2924 ?           -1 Ssl   1000   0:00          \_ /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
 2730  2931  2931  2931 ?           -1 Ssl   1000   0:00          \_ /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
 2730  2934  2934  2934 ?           -1 Ssl   1000   0:00          \_ /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
 2730  2937  2937  2937 ?           -1 Ssl   1000   0:00          \_ /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
 2730  2946  2946  2946 ?           -1 Ssl   1000   0:00          \_ /usr/lib/x86_64-linux-gnu/indicator-printers/indicator-printers-service
 2730  2950  2950  2950 ?           -1 Ssl   1000   0:00          \_ /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
 2730  2952  2952  2952 ?           -1 Ssl   1000   0:00          \_ /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
 2730  2958  2807  2807 ?           -1 Sl    1000   0:00          \_ /usr/lib/dconf/dconf-service
 2730  2976  2807  2807 ?           -1 Sl    1000   0:00          \_ /usr/lib/evolution/evolution-source-registry
 2730  2997  2996  2996 ?           -1 S<l   1000   0:00          \_ /usr/bin/pulseaudio --start --log-target=syslog
 2730  3032  2807  2807 ?           -1 Sl    1000   0:00          \_ /usr/lib/x86_64-linux-gnu/notify-osd
 2730  3049  2807  2807 ?           -1 Sl    1000   0:00          \_ /usr/lib/evolution/evolution-calendar-factory
 2730  3086  2858  2858 ?           -1 Sl    1000   0:04          \_ /usr/lib/vmware-tools/sbin64/vmtoolsd -n vmusr --blockFd 3
 2730  3145  2807  2807 ?           -1 Sl    1000   0:00          \_ /usr/lib/gvfs/gvfs-udisks2-volume-monitor
 2730  3193  2807  2807 ?           -1 S     1000   0:00          \_ /usr/lib/x86_64-linux-gnu/gconf/gconfd-2
 2730  3203  2807  2807 ?           -1 Sl    1000   0:00          \_ /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
 2730  3209  2807  2807 ?           -1 Sl    1000   0:00          \_ /usr/lib/gvfs/gvfs-afc-volume-monitor
 2730  3214  2807  2807 ?           -1 Sl    1000   0:00          \_ /usr/lib/gvfs/gvfs-mtp-volume-monitor
 2730  3231  2807  2807 ?           -1 Sl    1000   0:00          \_ /usr/lib/gvfs/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
 2730  3261  2807  2807 ?           -1 Sl    1000   0:00          \_ /usr/lib/gvfs/gvfsd-burn --spawner :1.3 /org/gtk/gvfs/exec_spaw/1
 2730  3282  2807  2807 ?           -1 Sl    1000   0:00          \_ /usr/lib/gvfs/gvfsd-metadata
 2730  3303  2807  2807 ?           -1 Sl    1000   0:00          \_ /usr/lib/telepathy/mission-control-5
 2730  3322  2807  2807 ?           -1 Sl    1000   0:00          \_ /usr/bin/zeitgeist-daemon
 2730  3328  2807  2807 ?           -1 Sl    1000   0:00          \_ /usr/lib/x86_64-linux-gnu/zeitgeist-fts
 3328  3332  2807  2807 ?           -1 S     1000   0:00          |   \_ /bin/cat
 2730  3524  2807  2807 ?           -1 Sl    1000   0:00          \_ /usr/lib/x86_64-linux-gnu/unity-scope-home/unity-scope-home
 2730  3538  2807  2807 ?           -1 Sl    1000   0:00          \_ /usr/lib/x86_64-linux-gnu/unity-lens-files/unity-files-daemon
 2730  3539  2807  2807 ?           -1 Sl    1000   0:00          \_ /usr/bin/unity-scope-loader applications/applications.scope applications/scopes.scope commands.scope
 2730  3565  2807  2807 ?           -1 Sl    1000   0:00          \_ /usr/lib/x86_64-linux-gnu/unity-lens-music/unity-music-daemon
 2730  3582  2858  2858 ?           -1 Sl    1000   0:08          \_ gnome-terminal
 3582  3590  2858  2858 ?           -1 S     1000   0:00          |   \_ gnome-pty-helper
 3582  3591  3591  3591 pts/0     5710 Ss    1000   0:00          |   \_ bash
 3591  5710  5710  3591 pts/0     5710 R+    1000   0:00          |   |   \_ ps axjf
 3582  3706  3706  3706 pts/6     3706 Ss+   1000   0:00          |   \_ bash
 2730  4373  2807  2807 ?           -1 Sl    1000   0:00          \_ /usr/lib/gvfs/gvfsd-http --spawner :1.3 /org/gtk/gvfs/exec_spaw/2
    1  1091  1091  1091 ?           -1 Ss       0   0:03 /usr/sbin/irqbalance
    1  1154   632   632 ?           -1 Sl       0   0:00 /usr/lib/accountsservice/accounts-daemon
    1  1191  1191  1191 ?           -1 Ss       0   0:00 /usr/sbin/cups-browsed
    1  1198  1198  1198 ?           -1 Ssl    109   0:00 whoopsie
    1  1234  1234  1234 tty1      1234 Ss+      0   0:00 /sbin/getty -8 38400 tty1
    1  1248  1248  1248 ?           -1 Ss       0   0:00 acpid -c /etc/acpi/events -s /var/run/acpid.socket
    1  1432  1432  1432 ?           -1 Ssl      0   0:00 /usr/sbin/vmware-vmblock-fuse -o subtype=vmware-vmblock,default_permissions,allow_other /var/run/vmblock-fuse
    1  1460  1459  1459 ?           -1 Sl       0   0:05 /usr/sbin/vmtoolsd
    1  1738   632   632 ?           -1 Sl       0   0:00 /usr/lib/upower/upowerd
    1  1779   632   632 ?           -1 SNl    107   0:00 /usr/lib/rtkit/rtkit-daemon
    1  1982   632   632 ?           -1 Sl     113   0:00 /usr/lib/colord/colord
    1  2519  2519  2519 ?           -1 Ss       0   0:00 /usr/sbin/cupsd -f
    1  2557  2557  2557 ?           -1 Ss       0   0:00 tpvmlpd2
    1  2725  2724  2724 ?           -1 Sl    1000   0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
    1  3155   632   632 ?           -1 Sl       0   0:00 /usr/lib/udisks2/udisksd --no-debug
